Customer_ID,Age,Customer_Type,City,Region,Bank_Name,Branch_ID,Age_Group,Age_Group_Sort
200000,56.0,Employee,Pune,North,HDFC Bank,1350,50-59,4
200001,69.0,Unknown,Kolhapur,East,HDFC Bank,1648,60-69,5
200002,46.0,Business,Pune,West,HDFC Bank,1798,40-49,3
200003,32.0,Individual,Pune,West,HDFC Bank,1900,30-39,2
200004,,Business,Kolhapur,East,HDFC Bank,1227,Unknown,7
200005,25.0,Business,Pune,North,HDFC Bank,1015,18-29,1
200006,78.0,Business,Kolhapur,North,HDFC Bank,1809,70-79,6
200007,38.0,Business,Pune,North,HDFC Bank,1424,30-39,2
200008,56.0,Business,Solapur,West,HDFC Bank,1463,50-59,4
200009,75.0,Individual,Mumbai,South,HDFC Bank,1723,70-79,6
200010,36.0,Individual,Kolhapur,West,HDFC Bank,1245,30-39,2
200011,40.0,Business,Pune,East,HDFC Bank,1797,40-49,3
200012,28.0,Individual,Solapur,North,HDFC Bank,1793,18-29,1
200013,28.0,Individual,Mumbai,South,HDFC Bank,1176,18-29,1
200014,41.0,Employee,Unknown,North,HDFC Bank,1542,40-49,3
200015,70.0,Business,Mumbai,West,HDFC Bank,1508,70-79,6
200016,53.0,Individual,Kolhapur,South,HDFC Bank,1561,50-59,4
200017,57.0,Individual,Mumbai,South,HDFC Bank,1654,50-59,4
200018,41.0,Business,Nagpur,West,HDFC Bank,1563,40-49,3
200019,20.0,Employee,Unknown,North,HDFC Bank,1232,18-29,1
200020,39.0,Business,Nagpur,North,HDFC Bank,1677,30-39,2
200021,70.0,Employee,Kolhapur,North,HDFC Bank,1037,70-79,6
200022,19.0,Business,Kolhapur,West,HDFC Bank,1490,18-29,1
200023,41.0,Business,Mumbai,East,HDFC Bank,1443,40-49,3
200024,61.0,Business,Solapur,East,HDFC Bank,1019,60-69,5
200025,47.0,Business,Pune,North,HDFC Bank,1610,40-49,3
200026,55.0,Employee,Nashik,South,HDFC Bank,1726,50-59,4
200027,19.0,Employee,Pune,East,HDFC Bank,1555,18-29,1
200028,77.0,Unknown,Solapur,North,HDFC Bank,1110,70-79,6
200029,38.0,Business,Kolhapur,East,HDFC Bank,1486,30-39,2
200030,50.0,Employee,Unknown,North,HDFC Bank,1088,50-59,4
200031,29.0,Employee,Nagpur,East,HDFC Bank,1318,18-29,1
200032,75.0,Employee,Kolhapur,East,HDFC Bank,1117,70-79,6
200033,39.0,Business,Kolhapur,South,HDFC Bank,1433,30-39,2
200034,78.0,Individual,Mumbai,South,HDFC Bank,1917,70-79,6
200035,61.0,Employee,Solapur,East,HDFC Bank,1238,60-69,5
200036,42.0,Business,Mumbai,North,HDFC Bank,1071,40-49,3
200037,66.0,Employee,Mumbai,South,HDFC Bank,1821,60-69,5
200038,44.0,Employee,Pune,West,HDFC Bank,1904,40-49,3
200039,76.0,Individual,Unknown,South,HDFC Bank,1398,70-79,6
200040,59.0,Employee,Solapur,East,HDFC Bank,1815,50-59,4
200041,45.0,Employee,Mumbai,East,HDFC Bank,1403,40-49,3
200042,77.0,Business,Nagpur,West,HDFC Bank,1674,70-79,6
200043,33.0,Business,Nashik,South,HDFC Bank,1250,30-39,2
200044,32.0,Individual,Solapur,East,HDFC Bank,1868,30-39,2
200045,79.0,Business,Pune,West,HDFC Bank,1194,70-79,6
200046,79.0,Business,Solapur,West,HDFC Bank,1571,70-79,6
200047,64.0,Individual,Kolhapur,North,HDFC Bank,1609,60-69,5
200048,79.0,Employee,Pune,South,HDFC Bank,1929,70-79,6
200049,68.0,Individual,Nashik,South,HDFC Bank,1867,60-69,5
200050,61.0,Business,Nagpur,South,HDFC Bank,1866,60-69,5
200051,72.0,Individual,Mumbai,East,HDFC Bank,1584,70-79,6
200052,69.0,Employee,Solapur,West,HDFC Bank,1221,60-69,5
200053,74.0,Individual,Pune,North,HDFC Bank,1630,70-79,6
200054,20.0,Business,Nashik,South,HDFC Bank,1181,18-29,1
200055,54.0,Business,Mumbai,North,HDFC Bank,1895,50-59,4
200056,68.0,Individual,Nashik,North,HDFC Bank,1729,60-69,5
200057,,Employee,Nagpur,West,HDFC Bank,1255,Unknown,7
200058,38.0,Individual,Mumbai,South,HDFC Bank,1907,30-39,2
200059,26.0,Employee,Mumbai,North,HDFC Bank,1087,18-29,1
200060,,Employee,Mumbai,South,HDFC Bank,1872,Unknown,7
200061,35.0,Individual,Pune,South,HDFC Bank,1786,30-39,2
200062,21.0,Employee,Mumbai,South,HDFC Bank,1491,18-29,1
200063,42.0,Business,Nashik,North,HDFC Bank,1335,40-49,3
200064,77.0,Individual,Pune,West,HDFC Bank,1537,70-79,6
200065,31.0,Employee,Mumbai,West,HDFC Bank,1406,30-39,2
200066,67.0,Business,Nashik,North,HDFC Bank,1632,60-69,5
200067,75.0,Individual,Nashik,East,HDFC Bank,1288,70-79,6
200068,26.0,Business,Solapur,South,HDFC Bank,1361,18-29,1
200069,43.0,Business,Nashik,South,HDFC Bank,1440,40-49,3
200070,70.0,Business,Kolhapur,West,HDFC Bank,1029,70-79,6
200071,19.0,Employee,Unknown,North,HDFC Bank,1918,18-29,1
200072,37.0,Individual,Mumbai,North,HDFC Bank,1713,30-39,2
200073,45.0,Individual,Unknown,East,HDFC Bank,1893,40-49,3
200074,64.0,Employee,Mumbai,East,HDFC Bank,1547,60-69,5
200075,77.0,Unknown,Unknown,West,HDFC Bank,1636,70-79,6
200076,24.0,Business,Nashik,East,HDFC Bank,1222,18-29,1
200077,61.0,Individual,Mumbai,East,HDFC Bank,1746,60-69,5
200078,78.0,Employee,Kolhapur,North,HDFC Bank,1123,70-79,6
200079,25.0,Business,Pune,North,HDFC Bank,1981,18-29,1
200080,64.0,Employee,Pune,East,HDFC Bank,1682,60-69,5
200081,52.0,Business,Nagpur,West,HDFC Bank,1997,50-59,4
200082,31.0,Business,Solapur,East,HDFC Bank,1961,30-39,2
200083,,Individual,Nagpur,West,HDFC Bank,1692,Unknown,7
200084,53.0,Business,Mumbai,East,HDFC Bank,1214,50-59,4
200085,67.0,Employee,Mumbai,North,HDFC Bank,1117,60-69,5
200086,,Individual,Mumbai,North,HDFC Bank,1226,Unknown,7
200087,21.0,Employee,Solapur,West,HDFC Bank,1890,18-29,1
200088,19.0,Business,Unknown,East,HDFC Bank,1443,18-29,1
200089,79.0,Employee,Solapur,East,HDFC Bank,1548,70-79,6
200090,23.0,Unknown,Unknown,West,HDFC Bank,1828,18-29,1
200091,71.0,Business,Nashik,East,HDFC Bank,1607,70-79,6
200092,59.0,Individual,Unknown,South,HDFC Bank,1631,50-59,4
200093,21.0,Employee,Nagpur,North,HDFC Bank,1436,18-29,1
200094,71.0,Business,Nashik,North,HDFC Bank,1011,70-79,6
200095,46.0,Individual,Pune,West,HDFC Bank,1121,40-49,3
200096,35.0,Individual,Nagpur,East,HDFC Bank,1546,30-39,2
200097,43.0,Individual,Nagpur,West,HDFC Bank,1488,40-49,3
200098,61.0,Employee,Pune,South,HDFC Bank,1250,60-69,5
200099,51.0,Employee,Solapur,East,HDFC Bank,1578,50-59,4
200100,27.0,Employee,Solapur,South,HDFC Bank,1481,18-29,1
200101,79.0,Individual,Unknown,West,HDFC Bank,1549,70-79,6
200102,53.0,Employee,Nashik,North,HDFC Bank,1279,50-59,4
200103,31.0,Business,Pune,South,HDFC Bank,1741,30-39,2
200104,48.0,Employee,Nagpur,East,HDFC Bank,1336,40-49,3
200105,65.0,Unknown,Nagpur,West,HDFC Bank,1167,60-69,5
200106,32.0,Individual,Nagpur,West,HDFC Bank,1960,30-39,2
200107,25.0,Employee,Nashik,West,HDFC Bank,1952,18-29,1
200108,31.0,Unknown,Nashik,North,HDFC Bank,1327,30-39,2
200109,40.0,Individual,Kolhapur,West,HDFC Bank,1245,40-49,3
200110,77.0,Business,Solapur,West,HDFC Bank,1590,70-79,6
200111,74.0,Individual,Kolhapur,North,HDFC Bank,1625,70-79,6
200112,79.0,Individual,Kolhapur,West,HDFC Bank,1300,70-79,6
200113,57.0,Employee,Nashik,West,HDFC Bank,1728,50-59,4
200114,38.0,Business,Solapur,South,HDFC Bank,1199,30-39,2
200115,33.0,Individual,Solapur,West,HDFC Bank,1892,30-39,2
200116,62.0,Employee,Nagpur,North,HDFC Bank,1499,60-69,5
200117,35.0,Individual,Nashik,South,HDFC Bank,1863,30-39,2
200118,64.0,Individual,Solapur,West,HDFC Bank,1753,60-69,5
200119,70.0,Individual,Kolhapur,North,HDFC Bank,1012,70-79,6
200120,41.0,Individual,Pune,East,HDFC Bank,1365,40-49,3
200121,43.0,Individual,Pune,West,HDFC Bank,1718,40-49,3
200122,,Individual,Nashik,East,HDFC Bank,1773,Unknown,7
200123,77.0,Employee,Nagpur,South,HDFC Bank,1096,70-79,6
200124,77.0,Individual,Nagpur,North,HDFC Bank,1070,70-79,6
200125,77.0,Business,Solapur,South,HDFC Bank,1992,70-79,6
200126,62.0,Employee,Nashik,East,HDFC Bank,1814,60-69,5
200127,58.0,Business,Unknown,East,HDFC Bank,1860,50-59,4
200128,46.0,Individual,Kolhapur,East,HDFC Bank,1741,40-49,3
200129,32.0,Business,Unknown,North,HDFC Bank,1356,30-39,2
200130,62.0,Individual,Kolhapur,East,HDFC Bank,1811,60-69,5
200131,18.0,Individual,Solapur,East,HDFC Bank,1543,18-29,1
200132,42.0,Employee,Mumbai,North,HDFC Bank,1249,40-49,3
200133,24.0,Employee,Kolhapur,East,HDFC Bank,1253,18-29,1
200134,26.0,Individual,Nashik,West,HDFC Bank,1770,18-29,1
200135,41.0,Employee,Kolhapur,East,HDFC Bank,1181,40-49,3
200136,18.0,Business,Unknown,North,HDFC Bank,1851,18-29,1
200137,61.0,Employee,Solapur,East,HDFC Bank,1973,60-69,5
200138,25.0,Employee,Pune,North,HDFC Bank,1987,18-29,1
200139,41.0,Business,Mumbai,East,HDFC Bank,1165,40-49,3
200140,28.0,Employee,Kolhapur,West,HDFC Bank,1003,18-29,1
200141,68.0,Individual,Pune,North,HDFC Bank,1462,60-69,5
200142,34.0,Business,Nagpur,North,HDFC Bank,1144,30-39,2
200143,25.0,Individual,Mumbai,North,HDFC Bank,1164,18-29,1
200144,52.0,Business,Mumbai,North,HDFC Bank,1343,50-59,4
200145,52.0,Individual,Solapur,East,HDFC Bank,1997,50-59,4
200146,50.0,Individual,Kolhapur,East,HDFC Bank,1873,50-59,4
200147,,Employee,Nagpur,West,HDFC Bank,1104,Unknown,7
200148,22.0,Individual,Solapur,West,HDFC Bank,1547,18-29,1
200149,59.0,Employee,Nashik,East,HDFC Bank,1313,50-59,4
200150,56.0,Business,Pune,South,HDFC Bank,1168,50-59,4
200151,75.0,Individual,Pune,North,HDFC Bank,1519,70-79,6
200152,58.0,Individual,Solapur,East,HDFC Bank,1962,50-59,4
200153,45.0,Business,Pune,West,HDFC Bank,1925,40-49,3
200154,24.0,Business,Kolhapur,North,HDFC Bank,1597,18-29,1
200155,26.0,Individual,Pune,West,HDFC Bank,1435,18-29,1
200156,25.0,Business,Kolhapur,South,HDFC Bank,1608,18-29,1
200157,29.0,Employee,Nashik,North,HDFC Bank,1511,18-29,1
200158,51.0,Business,Nagpur,South,HDFC Bank,1408,50-59,4
200159,50.0,Business,Mumbai,South,HDFC Bank,1435,50-59,4
200160,65.0,Individual,Solapur,South,HDFC Bank,1314,60-69,5
200161,72.0,Employee,Solapur,East,HDFC Bank,1541,70-79,6
200162,,Business,Kolhapur,West,HDFC Bank,1612,Unknown,7
200163,79.0,Employee,Nashik,North,HDFC Bank,1578,70-79,6
200164,41.0,Employee,Nashik,East,HDFC Bank,1899,40-49,3
200165,54.0,Employee,Mumbai,West,HDFC Bank,1860,50-59,4
200166,52.0,Individual,Nagpur,East,HDFC Bank,1952,50-59,4
200167,61.0,Business,Solapur,West,HDFC Bank,1062,60-69,5
200168,57.0,Individual,Kolhapur,North,HDFC Bank,1031,50-59,4
200169,39.0,Business,Nashik,North,HDFC Bank,1598,30-39,2
200170,44.0,Business,Solapur,North,HDFC Bank,1210,40-49,3
200171,52.0,Individual,Kolhapur,North,HDFC Bank,1462,50-59,4
200172,18.0,Unknown,Pune,West,HDFC Bank,1562,18-29,1
200173,52.0,Employee,Solapur,East,HDFC Bank,1574,50-59,4
