Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date,Year,Month,Month_Name
300000,209689,Business,69339,4794.0,42580,Fixed Deposit,2024-12-08,2024,12,December
300001,206124,Business,12825,3500.0,46605,Fixed Deposit,2022-09-09,2022,9,September
300002,207501,Current,67753,2401.0,17027,Fixed Deposit,2022-04-28,2022,4,April
300003,208675,Savings,67061,2952.0,3054,Fixed Deposit,2023-05-22,2023,5,May
300004,204923,Business,8566,1025.0,44937,Fixed Deposit,2023-04-05,2023,4,April
300005,208422,Business,99584,3685.0,31763,Fixed Deposit,2023-03-02,2023,3,March
300006,200086,Savings,88497,2343.0,26793,Recurring Deposit,2022-10-23,2022,10,October
300007,204484,Savings,20803,1985.0,3709,Fixed Deposit,2022-08-27,2022,8,August
300008,201643,Business,60911,5224.002812996517,45985,Recurring Deposit,2025-02-04,2025,2,February
300009,208910,Business,35489,3714.0,38111,Fixed Deposit,2024-07-15,2024,7,July
300010,204832,Savings,40289,3689.0,4968,Recurring Deposit,2022-08-03,2022,8,August
300011,202229,Savings,19167,3885.0,2633,Mutual Fund,2024-09-23,2024,9,September
300012,202469,Current,96671,997.0,9228,Recurring Deposit,2024-01-05,2024,1,January
300013,206596,Business,91612,3675.0,31008,Mutual Fund,2022-05-09,2022,5,May
300014,202248,Savings,79733,1516.0,24178,Mutual Fund,2022-05-06,2022,5,May
300015,200582,Savings,17467,4788.0,22052,Recurring Deposit,2022-08-13,2022,8,August
300016,204119,Current,55313,1971.0,43970,Mutual Fund,2023-02-23,2023,2,February
300017,200872,Current,12532,2483.0,22133,Mutual Fund,2023-03-17,2023,3,March
300018,202383,Savings,49658,3742.0,7727,Mutual Fund,2024-05-14,2024,5,May
300019,208164,Business,9225,4927.0,10808,Fixed Deposit,2024-10-11,2024,10,October
300020,203721,Business,45900,6627.420212670303,44084,Fixed Deposit,2022-05-01,2022,5,May
300021,209684,Business,70335,361.0,47823,Recurring Deposit,2024-08-08,2024,8,August
300022,207316,Current,20828,1570.0,18262,Recurring Deposit,2023-01-23,2023,1,January
300023,206897,Savings,54204,1310.0,4334,Fixed Deposit,2024-12-24,2024,12,December
300024,201094,Savings,65447,4938.0,2448,Recurring Deposit,2025-03-14,2025,3,March
300025,204007,Current,48288,3773.0,33365,Recurring Deposit,2024-07-14,2024,7,July
300026,204487,Business,21439,1041.0,29394,Fixed Deposit,2024-01-01,2024,1,January
300027,202295,Savings,49736,2393.0,34507,Fixed Deposit,2023-02-26,2023,2,February
300028,209320,Business,71788,4852.0,15429,Fixed Deposit,2024-02-16,2024,2,February
300029,205171,Savings,4032,4578.0,30881,Fixed Deposit,2024-09-21,2024,9,September
300030,202305,Current,38930,4105.0,8971,Mutual Fund,2023-05-27,2023,5,May
300031,205604,Current,70735,1857.0,28139,Fixed Deposit,2022-03-31,2022,3,March
300032,208597,Business,14328,2724.0,46384,Fixed Deposit,2022-11-24,2022,11,November
300033,201654,Current,81984,3532.0,1352,Fixed Deposit,2025-03-09,2025,3,March
300034,204981,Savings,98769,1413.4289702751234,23073,Fixed Deposit,2024-01-06,2024,1,January
300035,209779,Current,53909,3388.0,38051,Fixed Deposit,2023-08-31,2023,8,August
300036,206510,Business,56456,4819.0,30383,Mutual Fund,2023-05-26,2023,5,May
300037,203773,Current,91948,1105.0,5686,Fixed Deposit,2022-11-17,2022,11,November
300038,204445,Savings,76305,2909.0,17613,Mutual Fund,2023-02-18,2023,2,February
300039,206769,Current,24438,1210.0,48004,Mutual Fund,2023-08-25,2023,8,August
300040,207873,Savings,23464,389.0,1320,Mutual Fund,2022-08-26,2022,8,August
300041,202102,Business,86047,1011.0,19917,Recurring Deposit,2022-08-12,2022,8,August
300042,203852,Savings,28306,1480.0,46133,Mutual Fund,2023-11-01,2023,11,November
300043,208987,Current,29241,1747.0,47535,Fixed Deposit,2022-08-18,2022,8,August
300044,202904,Current,6313,4136.0,40430,Fixed Deposit,2023-09-29,2023,9,September
300045,201453,Business,41400,3924.0,29495,Recurring Deposit,2023-09-06,2023,9,September
300046,209070,Current,74796,4109.0,25768,Fixed Deposit,2024-10-13,2024,10,October
300047,208578,Business,60021,1391.0,16081,Mutual Fund,2023-05-05,2023,5,May
300048,202434,Business,11536,3112.0,7987,Mutual Fund,2022-05-27,2022,5,May
300049,209372,Savings,20642,1722.0,1808,Mutual Fund,2024-03-03,2024,3,March
300050,204519,Current,27673,4779.0,12849,Mutual Fund,2024-07-01,2024,7,July
300051,200786,Savings,8325,4174.0,19217,Recurring Deposit,2022-09-30,2022,9,September
300052,206803,Business,2149,1862.0,5514,Mutual Fund,2023-10-30,2023,10,October
300053,203219,Business,29377,4325.54931329541,47497,Fixed Deposit,2022-07-21,2022,7,July
300054,207258,Business,57301,2227.0,39792,Fixed Deposit,2024-07-25,2024,7,July
300055,206699,Savings,25888,4279.0,18200,Mutual Fund,2023-06-19,2023,6,June
300056,201773,Savings,40811,1537.0,23933,Recurring Deposit,2024-11-21,2024,11,November
300057,202042,Business,79085,3989.0,46476,Recurring Deposit,2024-11-05,2024,11,November
300058,209816,Current,18004,2650.0,36131,Mutual Fund,2023-10-03,2023,10,October
300059,207169,Current,46996,2615.5528736962256,13299,Mutual Fund,2024-09-02,2024,9,September
300060,207608,Current,17977,456.0,36194,Mutual Fund,2023-01-13,2023,1,January
300061,209440,Business,28472,260.0,32011,Fixed Deposit,2025-03-19,2025,3,March
300062,204242,Business,54691,3166.0,12049,Fixed Deposit,2022-07-07,2022,7,July
300063,201625,Current,81352,2022.0,46919,Recurring Deposit,2022-05-31,2022,5,May
300064,201471,Savings,34379,1620.0,34662,Fixed Deposit,2025-01-11,2025,1,January
300065,205549,Current,31314,3415.0,16440,Recurring Deposit,2023-03-10,2023,3,March
300066,201346,Savings,14144,663.0,3974,Recurring Deposit,2023-06-13,2023,6,June
300067,209306,Current,58970,3360.0,12027,Recurring Deposit,2022-07-22,2022,7,July
300068,200013,Business,60291,4091.0,30557,Fixed Deposit,2023-03-17,2023,3,March
300069,209363,Current,15668,109.0,40973,Fixed Deposit,2022-08-24,2022,8,August
300070,201826,Savings,11159,781.0,3247,Recurring Deposit,2023-11-01,2023,11,November
300071,208600,Savings,43386,771.1865553972792,16631,Recurring Deposit,2023-05-26,2023,5,May
300072,205507,Current,93190,776.0,1571,Mutual Fund,2024-02-23,2024,2,February
300073,204152,Business,41654,292.0,6727,Recurring Deposit,2024-12-02,2024,12,December
300074,202561,Business,94115,3227.0,16048,Recurring Deposit,2023-10-08,2023,10,October
300075,201902,Savings,74259,587.0,34913,Mutual Fund,2022-11-28,2022,11,November
300076,208596,Business,77182,385.0,37067,Recurring Deposit,2023-10-17,2023,10,October
300077,207916,Current,14799,1367.0,46381,Fixed Deposit,2023-09-23,2023,9,September
300078,205720,Savings,13928,934.0,24135,Fixed Deposit,2023-02-09,2023,2,February
300079,200858,Savings,43133,901.856193185989,4345,Recurring Deposit,2025-01-25,2025,1,January
300080,200208,Current,84847,1222.0,22763,Mutual Fund,2023-05-09,2023,5,May
300081,202190,Current,43308,3681.0,23699,Mutual Fund,2025-03-15,2025,3,March
300082,208109,Current,48383,3311.0,11587,Fixed Deposit,2025-02-14,2025,2,February
300083,207794,Business,86627,2256.0,13962,Fixed Deposit,2024-12-21,2024,12,December
300084,201822,Business,4360,2390.0,8777,Mutual Fund,2022-07-09,2022,7,July
300085,207741,Business,46631,1164.0,29535,Recurring Deposit,2024-10-22,2024,10,October
300086,200545,Current,74422,3891.0,15881,Recurring Deposit,2024-12-01,2024,12,December
300087,208995,Business,20259,2198.0,3160,Recurring Deposit,2022-12-11,2022,12,December
300088,201127,Business,2577,1476.0,5260,Recurring Deposit,2024-06-27,2024,6,June
300089,206476,Current,38065,2227.0,10696,Mutual Fund,2023-04-05,2023,4,April
300090,204092,Current,40483,446.0,37239,Mutual Fund,2022-11-29,2022,11,November
300091,200246,Current,37201,1858.0,41677,Mutual Fund,2024-03-08,2024,3,March
300092,208656,Savings,33653,1438.0,11212,Recurring Deposit,2023-10-31,2023,10,October
300093,206444,Current,98586,4795.0,29859,Recurring Deposit,2023-05-14,2023,5,May
300094,200619,Current,98266,2796.0,32851,Fixed Deposit,2024-12-09,2024,12,December
300095,201958,Business,56360,4167.0,47288,Mutual Fund,2025-02-22,2025,2,February
300096,206681,Savings,99202,553.0,47078,Mutual Fund,2024-08-02,2024,8,August
300097,209421,Business,83453,1409.0,29438,Recurring Deposit,2023-02-25,2023,2,February
300098,208548,Savings,80321,189.0,37746,Recurring Deposit,2025-02-16,2025,2,February
300099,202378,Current,8615,1419.0,24154,Recurring Deposit,2023-08-06,2023,8,August
300100,203351,Savings,69990,1245.40705019437,14369,Recurring Deposit,2022-06-15,2022,6,June
300101,200884,Current,22527,2603.0,7744,Mutual Fund,2023-03-11,2023,3,March
300102,206585,Savings,78341,3102.0,33839,Recurring Deposit,2022-05-09,2022,5,May
300103,209950,Business,62479,1262.0,23149,Fixed Deposit,2023-07-24,2023,7,July
300104,209649,Savings,77880,2023.0,11839,Recurring Deposit,2023-12-04,2023,12,December
300105,206343,Savings,97150,1888.0,32443,Fixed Deposit,2023-05-10,2023,5,May
300106,200550,Current,37640,4869.0,6378,Fixed Deposit,2022-07-01,2022,7,July
300107,208391,Business,57068,544.0,43856,Recurring Deposit,2023-02-11,2023,2,February
300108,209582,Business,77018,2580.0,13089,Recurring Deposit,2024-08-18,2024,8,August
300109,203742,Current,16002,4240.0,10238,Fixed Deposit,2023-07-22,2023,7,July
300110,201443,Current,76069,3992.0,37536,Recurring Deposit,2023-02-14,2023,2,February
300111,204774,Business,2758,2094.0,11322,Fixed Deposit,2025-01-02,2025,1,January
300112,208468,Savings,35712,2850.0,2664,Fixed Deposit,2024-05-04,2024,5,May
300113,200053,Business,88489,4528.0,25322,Recurring Deposit,2023-11-25,2023,11,November
300114,200163,Business,18939,1456.0,42750,Fixed Deposit,2024-12-13,2024,12,December
300115,206798,Business,62558,4163.0,15336,Fixed Deposit,2024-03-02,2024,3,March
300116,202789,Current,49938,4394.0,44374,Fixed Deposit,2022-10-28,2022,10,October
300117,204517,Current,68138,5131.409920894748,25219,Mutual Fund,2023-05-06,2023,5,May
300118,209445,Savings,19937,610.0,8151,Recurring Deposit,2022-10-23,2022,10,October
300119,209521,Savings,9767,4323.0,44076,Recurring Deposit,2023-04-08,2023,4,April
300120,209177,Business,67405,1165.0,1594,Mutual Fund,2024-08-09,2024,8,August
300121,205359,Current,35093,2660.0,6004,Fixed Deposit,2024-07-05,2024,7,July
300122,205652,Business,23971,2731.0,33733,Mutual Fund,2023-05-03,2023,5,May
300123,201080,Current,52943,3698.0,16128,Fixed Deposit,2024-09-14,2024,9,September
300124,208850,Business,43169,2984.0,28130,Recurring Deposit,2024-01-15,2024,1,January
300125,205148,Savings,5247,2553.0,35029,Recurring Deposit,2024-09-12,2024,9,September
300126,202265,Business,72586,3575.0,38148,Recurring Deposit,2023-12-01,2023,12,December
300127,204641,Current,86526,605.0,23902,Fixed Deposit,2023-10-04,2023,10,October
300128,200848,Current,93679,3984.0,36200,Mutual Fund,2023-02-24,2023,2,February
300129,208657,Business,71869,3260.0,44969,Mutual Fund,2022-10-21,2022,10,October
300130,204661,Savings,86647,3763.0,32727,Mutual Fund,2024-05-20,2024,5,May
300131,207711,Business,91053,3774.0,16137,Fixed Deposit,2024-04-25,2024,4,April
300132,204599,Business,6606,674.0,6690,Recurring Deposit,2022-08-09,2022,8,August
300133,205661,Current,76708,4079.0,14536,Recurring Deposit,2022-06-02,2022,6,June
300134,209566,Current,16347,4411.0,10417,Recurring Deposit,2022-09-07,2022,9,September
300135,206111,Savings,21222,2637.0,38073,Recurring Deposit,2022-11-13,2022,11,November
300136,205515,Business,76070,3012.0,16381,Mutual Fund,2024-11-19,2024,11,November
300137,209998,Savings,43649,3982.0,16028,Recurring Deposit,2022-11-24,2022,11,November
300138,208610,Business,92016,1833.0,33244,Recurring Deposit,2025-02-10,2025,2,February
300139,201459,Savings,45434,4885.0,41478,Recurring Deposit,2024-01-05,2024,1,January
300140,204532,Business,76590,689.0,38185,Recurring Deposit,2024-10-02,2024,10,October
300141,206029,Savings,78592,4076.0,15550,Fixed Deposit,2022-06-27,2022,6,June
300142,206289,Business,17919,2965.0,39146,Fixed Deposit,2023-11-08,2023,11,November
300143,202213,Current,16398,3267.0,4757,Mutual Fund,2023-11-03,2023,11,November
300144,200597,Business,99990,2592.0,28000,Recurring Deposit,2024-10-01,2024,10,October
300145,209381,Business,21156,4226.0,33599,Fixed Deposit,2024-03-17,2024,3,March
300146,205528,Current,40524,4756.0,26816,Mutual Fund,2024-06-19,2024,6,June
300147,208637,Business,9929,782.0,20624,Fixed Deposit,2023-04-15,2023,4,April
300148,204749,Savings,18171,2448.0,29221,Mutual Fund,2024-07-27,2024,7,July
300149,200046,Business,18156,2359.0,14701,Mutual Fund,2022-04-07,2022,4,April
300150,209704,Savings,91347,1325.0,14764,Recurring Deposit,2025-02-09,2025,2,February
300151,207890,Current,48523,4841.0,22937,Mutual Fund,2022-09-14,2022,9,September
300152,201286,Savings,74082,1340.0,23950,Recurring Deposit,2025-02-12,2025,2,February
300153,202701,Current,82597,3989.0,9143,Recurring Deposit,2024-07-02,2024,7,July
300154,200942,Savings,99993,553.0,1938,Recurring Deposit,2023-05-09,2023,5,May
300155,202290,Current,8955,2783.0,34108,Mutual Fund,2024-12-10,2024,12,December
300156,200903,Business,64612,1268.0,38242,Mutual Fund,2023-08-31,2023,8,August
300157,205452,Savings,22972,4538.0,11023,Mutual Fund,2022-09-10,2022,9,September
300158,202659,Current,6267,803.0,8556,Recurring Deposit,2023-06-19,2023,6,June
300159,201131,Business,91885,2758.0,30920,Mutual Fund,2024-01-25,2024,1,January
300160,202368,Business,96916,731.0,16938,Fixed Deposit,2022-11-21,2022,11,November
300161,206948,Current,48385,2048.0,46372,Recurring Deposit,2024-02-23,2024,2,February
300162,203544,Current,25726,3434.0,5608,Fixed Deposit,2022-03-26,2022,3,March
300163,208658,Savings,63852,482.0,17190,Mutual Fund,2023-05-04,2023,5,May
300164,204057,Current,30592,580.758814260561,7473,Fixed Deposit,2024-05-06,2024,5,May
300165,204850,Business,95211,2537.0,45303,Fixed Deposit,2022-12-23,2022,12,December
300166,204034,Current,60226,2119.0,11219,Fixed Deposit,2024-05-17,2024,5,May
300167,201135,Savings,62321,2830.0,5123,Recurring Deposit,2022-09-02,2022,9,September
300168,209670,Savings,53385,1054.0,39746,Mutual Fund,2024-11-16,2024,11,November
300169,204383,Savings,59970,1996.0,39453,Recurring Deposit,2023-06-27,2023,6,June
300170,205572,Savings,27041,3360.0,7774,Mutual Fund,2024-12-07,2024,12,December
300171,208532,Savings,70747,1269.0,5490,Recurring Deposit,2024-05-17,2024,5,May
300172,200659,Savings,6986,2289.0,14012,Fixed Deposit,2024-10-22,2024,10,October
300173,200185,Current,28635,2040.0,9484,Fixed Deposit,2023-01-23,2023,1,January
300174,202076,Savings,44194,3082.0,32141,Recurring Deposit,2022-11-13,2022,11,November
300175,201431,Current,88419,4101.0,43232,Fixed Deposit,2023-10-22,2023,10,October
300176,200746,Current,87048,1282.0,45449,Fixed Deposit,2022-11-26,2022,11,November
300177,203834,Business,24356,180.0,41597,Mutual Fund,2024-07-05,2024,7,July
300178,208724,Current,6084,1258.0,1969,Mutual Fund,2024-06-21,2024,6,June
300179,207056,Current,11096,1194.0,43934,Recurring Deposit,2022-03-21,2022,3,March
300180,207259,Current,57100,3812.0,45675,Mutual Fund,2024-10-06,2024,10,October
300181,202975,Savings,68596,2489.0,35436,Recurring Deposit,2023-08-06,2023,8,August
300182,206315,Current,64388,3258.0,29118,Recurring Deposit,2024-04-18,2024,4,April
300183,204209,Business,8463,191.0,19686,Mutual Fund,2022-04-20,2022,4,April
300184,209313,Current,20709,290.0,4279,Recurring Deposit,2022-09-10,2022,9,September
300185,207422,Savings,19445,1355.0,18591,Fixed Deposit,2023-10-05,2023,10,October
300186,203093,Current,94447,3729.0,9594,Fixed Deposit,2023-07-11,2023,7,July
300187,209336,Savings,25735,4764.0,34806,Fixed Deposit,2023-03-27,2023,3,March
300188,208402,Savings,18290,2478.289035114589,19738,Recurring Deposit,2022-06-18,2022,6,June
300189,203773,Savings,85706,3885.0,6272,Mutual Fund,2023-03-30,2023,3,March
300190,202863,Current,33068,1104.0,46259,Recurring Deposit,2024-08-18,2024,8,August
300191,207815,Current,47769,563.0,26568,Fixed Deposit,2022-07-21,2022,7,July
300192,202433,Current,60044,1648.0,45393,Fixed Deposit,2022-08-01,2022,8,August
300193,207451,Business,98324,1618.0,16431,Fixed Deposit,2024-04-13,2024,4,April
300194,201923,Business,81324,1729.0,25244,Mutual Fund,2022-07-06,2022,7,July
300195,200640,Savings,32553,3133.0,29738,Fixed Deposit,2024-06-25,2024,6,June
300196,209806,Business,28289,1265.0,4243,Recurring Deposit,2022-10-02,2022,10,October
300197,201484,Current,5428,4488.0,1805,Fixed Deposit,2022-10-06,2022,10,October
300198,205854,Current,32611,447.93157897385976,30372,Mutual Fund,2025-01-08,2025,1,January
300199,203792,Current,68109,549.0,30252,Recurring Deposit,2024-03-28,2024,3,March
300200,201925,Business,77784,805.0,21582,Fixed Deposit,2024-07-22,2024,7,July
300201,201331,Savings,76879,4868.0,9942,Mutual Fund,2022-12-02,2022,12,December
300202,205452,Business,37018,3045.0,12295,Mutual Fund,2023-05-06,2023,5,May
300203,206333,Savings,95606,3141.0,21219,Fixed Deposit,2024-06-17,2024,6,June
300204,207157,Current,22088,3427.0,37378,Mutual Fund,2024-10-18,2024,10,October
300205,202140,Savings,3077,1630.0,2492,Fixed Deposit,2024-01-07,2024,1,January
300206,207575,Business,47239,2320.0,8457,Recurring Deposit,2023-02-13,2023,2,February
300207,201643,Business,71065,3351.0,39209,Recurring Deposit,2024-07-05,2024,7,July
300208,206859,Business,83950,3001.0,14428,Mutual Fund,2025-02-24,2025,2,February
300209,205097,Current,19214,4834.0,26396,Recurring Deposit,2023-01-27,2023,1,January
300210,205902,Current,72100,3858.0,44678,Fixed Deposit,2023-07-18,2023,7,July
300211,208190,Business,50935,4842.0,21279,Recurring Deposit,2023-11-30,2023,11,November
300212,203710,Current,91826,1264.0,26161,Recurring Deposit,2025-01-27,2025,1,January
300213,209987,Business,71564,4054.0,30080,Fixed Deposit,2024-12-24,2024,12,December
300214,209869,Savings,24860,2815.0,36541,Fixed Deposit,2023-10-22,2023,10,October
300215,202752,Savings,9781,4624.0,49690,Mutual Fund,2024-01-30,2024,1,January
300216,209595,Current,85630,3867.0,26524,Fixed Deposit,2024-06-02,2024,6,June
300217,206193,Current,22881,3647.0,25400,Fixed Deposit,2024-02-20,2024,2,February
300218,208430,Current,74914,4706.0,4541,Recurring Deposit,2022-09-24,2022,9,September
300219,207402,Current,10243,4070.0,24506,Fixed Deposit,2023-04-10,2023,4,April
300220,200318,Savings,50641,377.0,35492,Fixed Deposit,2023-03-05,2023,3,March
300221,208753,Business,44972,4705.0,15242,Recurring Deposit,2022-06-28,2022,6,June
300222,205212,Business,76095,3384.0,37075,Mutual Fund,2023-08-28,2023,8,August
300223,203413,Current,71322,4680.0,1594,Fixed Deposit,2022-04-22,2022,4,April
300224,206385,Business,84665,4475.0,45826,Recurring Deposit,2024-09-19,2024,9,September
300225,202659,Current,66017,3993.0,13426,Mutual Fund,2024-07-28,2024,7,July
300226,201507,Business,28843,1012.0,40145,Mutual Fund,2023-03-13,2023,3,March
300227,207089,Current,95422,3869.0,22019,Mutual Fund,2024-09-20,2024,9,September
300228,204961,Current,74416,3504.0,46858,Mutual Fund,2023-02-26,2023,2,February
300229,202020,Business,7258,290.0,49401,Recurring Deposit,2022-04-01,2022,4,April
300230,200154,Current,5898,1487.0,25708,Mutual Fund,2022-07-09,2022,7,July
300231,208733,Business,92274,1494.0,49517,Recurring Deposit,2024-11-25,2024,11,November
